specname,n
Acer ginnala,33
Acer tataricum,105
Aconitum firmum subsp. moravicum,192
Aethusa cynapioides,358
Agrostis alpina,34
Aldrovanda vesiculosa,30
Amaranthus blitum,288
Amaranthus caudatus,39
Amaranthus deflexus,54
Amelanchier ovalis,30
Antirrhinum majus,102
Aristolochia macrophylla,38
Asplenium adulterinum,205
Astragalus arenarius,69
Atriplex hortensis,257
Atriplex micrantha,65
Bellis perennis,5505
Berberis thunbergii,62
Bergenia crassifolia,68
Borago officinalis,50
Botrychium multifidum,52
Bromus racemosus,57
Bromus squarrosus,50
Buxus sempervirens,75
Calamagrostis purpurea,90
Calendula officinalis,406
Callitriche platycarpa,140
Calystegia pulchra,342
Camelina sativa,33
Campanula rapunculus,36
Caragana arborencens,151
Cardamine hirsuta,446
Cardamine parviflora,67
Cerastium alsinifolium,95
Cerastium fontanum,69
Cerastium tomentosum,258
Chenopodium chenopodioides,84
Cicerbita macrophylla,33
Cirsium brachycephalum,45
Cladium mariscus,52
Commelina communis,144
Consolida ajacis,33
Corispermum pallasii,61
Cornus sericea,77
Corrigiola litoralis,49
Corylus colurna,76
Cotinus coggygria,32
Cotoneaster divaricatus,49
Cotoneaster horizontalis,86
Crambe tataria,153
Crepis setosa,142
Cruciata pedemontana,52
Cuscuta lupuliformis,32
Dactylorhiza traunsteineri,84
Dasiphora fruticosa,53
Deutzia scabra,44
Dianthus barbatus,76
Dipsacus laciniatus,284
Duchesnea indica,104
Elatine hexandra,114
Eragrostis albensis,60
Eragrostis minor,1224
Eranthis hyemalis,71
Erica tetralix,42
Euphorbia humifusa,30
Euphorbia maculata,79
Euphorbia salicifolia,46
Fallopia aubertii,133
Forsythia suspensa,94
Fraxinus ornus,34
Fumaria rostellata,267
Fumaria schleicheri,259
Galega officinalis,323
Geranium macrorrhizum,42
Geranium sibiricum,62
Geum montanum,50
Ginkgo biloba,50
Glyceria striata,32
Glycyrrhiza glabra,38
Helictotrichon planiculme,64
Hemerocallis fulva,292
Hieracium caesium,37
Hieracium diaphanoides,32
Hieracium levicaule,239
Himantoglossum adriaticum,33
Hippophae rhamnoides,68
Iberis umbellata,32
Ilex aquifolium,43
Illecebrum verticillatum,101
Ipomoea purpurea,63
Iris arenaria,84
Juncus atratus,74
Juniperus sabina,43
Jurinea cyanoides,76
Kerria japonica,53
Lactuca tatarica,36
Laserpitium archangelica,40
Lavandula angustifolia,30
Lemna turionifera,134
Lepidium perfoliatum,49
Ligularia sibirica,84
Linaria arvensis,31
Lonicera periclymenum,64
Lunaria annua,196
Lychnis chalcedonica,48
Lycopsis arvensis,820
Lysimachia punctata,629
Malus sylvestris agg.,2921
Malva alcea,1087
Melilotus altissimus,159
Melissa officinalis,80
Mentha spicata,127
Mentha x verticillata agg.,1625
Minuartia smejkalii,39
Muscari armeniacum,121
Muscari botryoides,35
Narcissus poeticus,108
Narcissus pseudonarcissus,140
Neotinea tridentata,61
Nepeta cataria,284
Nicandra physalodes,31
Nigella arvensis,183
Nigella damascena,34
Notholaena marantae,49
Nuphar pumila,74
Ornithogalum angustifolium,179
Ornithogalum pyrenaicum subsp. sphaerocarpum,47
Ornithogalum umbellatum,54
Orobanche artemisiae-campestris,72
Orobanche minor,35
Othocallis siberica,142
Paeonia officinalis,32
Panicum miliaceum,250
Parietaria officinalis,74
Parthenocissus inserta,575
Parthenocissus quinquefolia,256
Parthenocissus tricuspidata,56
Pedicularis sudetica,45
Persicaria pensylvanica,30
Petrorhagia saxifraga,59
Philadelphus coronarius,341
Phlox paniculata,42
Physocarpus opulifolius,287
Phytolacca acinosa,84
Pilosella auriculoides,33
Pilosella piloselliflora,40
Plantago coronopus,101
Poa alpina,31
Polycnemum arvense,68
Polygala serpyllifolia,74
Populus x canadensis,2118
Potamogeton polygonifolius,50
Potamogeton praelongus,110
Potamogeton trichoides,447
Potentilla intermedia,47
Prunus cerasifera,950
Prunus tenella,38
Psephellus dealbatus,49
Pulsatilla vernalis,64
Rhus typhina,369
Ribes aureum,62
Ribes rubrum agg.,1109
Rosa glauca,46
Rosa multiflora,36
Rosa rugosa,195
Rubus montanus,854
Rubus sect. Corylifolii,4657
Rudbeckia hirta,103
Rudbeckia laciniata,525
Rumex longifolius,117
Rumex palustris,55
Rumex patientia,110
Sagina nodosa,45
Salix daphnoides,135
Salix elaeagnos,148
Salix herbacea,33
Salix matsudana,31
Salvia officinalis,57
Satureja hortensis,34
Scabiosa lucida,45
Scorzonera laciniata,55
Scorzonera parviflora,73
Sedum hybridum,57
Sedum pallidum,30
Sedum spurium,1041
Sempervivum tectorum,142
Senecio erraticus,410
Senecio erucifolius,175
Senecio umbrosus,97
Setaria faberi,73
Solanum decipiens,229
Sonchus palustris,78
Sorbaria sorbifolia,50
Spiraea japonica,33
Spiranthes spiralis,66
Stachys byzantina,75
Stratiotes aloides,202
Symphoricarpos albus,2130
Symphyotrichum novi-belgii agg.,942
Tanacetum parthenium,970
Taraxacum sect. Celtica,298
Thalictrum simplex,76
Thesium ebracteatum,31
Tilia euchlora,32
Tilia tomentosa,33
Trichomanes speciosum,145
Trifolium patens,61
Trifolium resupinatum,32
Typha shuttleworthii,46
Utricularia bremii,44
Utricularia ochroleuca,103
Vaccaria hispanica,34
Veratrum nigrum,118
Verbascum speciosum,49
Veronica spuria,51
Viola alba,35
Viola x scabra,287
Xanthium spinosum,41
