specname,n
Acer ginnala,33
Aethusa cynapioides,358
Amaranthus blitum,288
Amaranthus caudatus,39
Aristolochia macrophylla,38
Atriplex hortensis,257
Atriplex micrantha,65
Bergenia crassifolia,68
Borago officinalis,50
Buxus sempervirens,75
Calendula officinalis,406
Calystegia pulchra,342
Camelina sativa,33
Campanula rapunculus,36
Caragana arborencens,NA
Cardamine hirsuta,446
Cerastium tomentosum,258
Cicerbita macrophylla,33
Commelina communis,144
Consolida ajacis,33
Cornus sericea,77
Corylus colurna,76
Cotinus coggygria,32
Dasiphora fruticosa,53
Deutzia scabra,44
Dianthus barbatus,76
Duchesnea indica,104
Eragrostis minor,1224
Euphorbia maculata,79
Fallopia aubertii,133
Fraxinus ornus,34
Fumaria rostellata,267
Fumaria schleicheri,259
Geranium macrorrhizum,42
Ginkgo biloba,50
Hemerocallis fulva,292
Hieracium caesium,37
Hieracium diaphanoides,32
Hieracium levicaule,239
Iberis umbellata,32
Ilex aquifolium,43
Ipomoea purpurea,63
Kerria japonica,53
Lonicera periclymenum,64
Lycopsis arvensis,820
Lysimachia punctata,629
Mentha spicata,127
Muscari armeniacum,121
Nepeta cataria,284
Nigella arvensis,183
Ornithogalum angustifolium,179
Orobanche minor,35
Paeonia officinalis,32
Parthenocissus quinquefolia,256
Philadelphus coronarius,341
Physocarpus opulifolius,287
Phytolacca acinosa,84
Pilosella auriculoides,33
Polycnemum arvense,68
Potamogeton trichoides,447
Potentilla intermedia,47
Ribes aureum,62
Rosa rugosa,195
Rubus sect. Corylifolii,4657
Rudbeckia hirta,103
Rudbeckia laciniata,525
Salix daphnoides,135
Salix elaeagnos,148
Satureja hortensis,34
Scorzonera laciniata,55
Senecio erraticus,410
Senecio erucifolius,175
Solanum decipiens,229
Spiraea japonica,33
Symphyotrichum novi-belgii agg.,942
Taraxacum sect. Celtica,298
Tilia tomentosa,33
Trifolium resupinatum,32
Trichomanes speciosum,145
Vaccaria hispanica,34
Lavandula angustifolia,30
Lunaria annua,196
Lychnis chalcedonica,48
Malus sylvestris agg.,2921
Melissa officinalis,80
Muscari botryoides,35
Narcissus poeticus,108
Narcissus pseudonarcissus,140
Nigella damascena,34
Panicum miliaceum,250
Parthenocissus inserta,575
Parthenocissus tricuspidata,56
Phlox paniculata,42
Pilosella piloselliflora,40
Psephellus dealbatus,49
Rhus typhina,369
Ribes rubrum,NA
Rosa glauca,46
Rosa multiflora,36
Rubus montanus,854
Rumex palustris,55
Salix matsudana,31
Salvia officinalis,57
Sedum hybridum,57
Sedum pallidum,30
Sempervivum tectorum,142
Stachys byzantina,75
Symphoricarpos albus,2130
Tilia euchlora,32
Trifolium patens,61
Bellis perennis,5505
Stratiotes aloides,202
Nuphar pumila,74
Malva alcea,1087
Galega officinalis,323
Elatine hexandra,114
Caragana arborescens,151
Acer tataricum,105
Ribes rubrum agg.,1109
Cerastium fontanum,69
Cerastium alsinifolium,95
Asplenium adulterinum,205
Aconitum firmum subsp. moravicum,192
Aldrovanda vesiculosa,30
Amaranthus deflexus,54
Botrychium multifidum,52
Astragalus arenarius,69
Dactylorhiza traunsteineri,84
Corispermum pallasii,61
Helictotrichon planiculme,64
Euphorbia salicifolia,46
Corrigiola litoralis,49
Euphorbia humifusa,30
Forsythia suspensa,94
Dipsacus laciniatus,284
Calamagrostis purpurea,90
Cardamine parviflora,67
Chenopodium chenopodioides,84
Juncus atratus,74
Iris arenaria,84
Illecebrum verticillatum,101
Berberis thunbergii,62
Crepis setosa,142
Glyceria striata,32
Cotoneaster divaricatus,49
Erica tetralix,42
Cladium mariscus,52
Hippophae rhamnoides,68
Glycyrrhiza glabra,38
Callitriche platycarpa,140
Himantoglossum adriaticum,33
Geranium sibiricum,62
Eranthis hyemalis,71
Cirsium brachycephalum,45
Geum montanum,50
Eragrostis albensis,60
Crambe tataria,153
Cotoneaster horizontalis,86
Bromus squarrosus,50
Cuscuta lupuliformis,32
Bromus racemosus,57
Cruciata pedemontana,52
Agrostis alpina,34
Juniperus sabina,43
Jurinea cyanoides,76
Lactuca tatarica,36
Laserpitium archangelica,40
Lemna turionifera,134
Lepidium perfoliatum,49
Ligularia sibirica,84
Linaria arvensis,31
Melilotus altissimus,159
Mentha x verticillata agg.,1625
Minuartia smejkalii,39
Neotinea tridentata,61
Nicandra physalodes,31
Notholaena marantae,49
Ornithogalum pyrenaicum subsp. sphaerocarpum,47
Ornithogalum umbellatum,54
Orobanche artemisiae-campestris,72
Othocallis siberica,142
Parietaria officinalis,74
Pedicularis sudetica,45
Persicaria pensylvanica,30
Petrorhagia saxifraga,59
Plantago coronopus,101
Poa alpina,31
Polygala serpyllifolia,74
Potamogeton polygonifolius,50
Potamogeton praelongus,110
Prunus cerasifera,950
Prunus tenella,38
Pulsatilla vernalis,64
Rumex longifolius,117
Rumex patientia,110
Sagina nodosa,45
Salix herbacea,33
Scabiosa lucida,45
Scorzonera parviflora,73
Sedum spurium,1041
Senecio umbrosus,97
Setaria faberi,73
Sonchus palustris,78
Sorbaria sorbifolia,50
Spiranthes spiralis,66
Tanacetum parthenium,970
Thalictrum simplex,76
Thesium ebracteatum,31
Typha shuttleworthii,46
Utricularia bremii,44
Utricularia ochroleuca,103
Veratrum nigrum,118
Verbascum speciosum,49
Veronica spuria,51
Viola alba,35
Xanthium spinosum,41
