Parameter,low,Low,median,High,high,ParameterOriginal,parnum,specname
1960s,0.593441,0.596997,0.617542,0.637693,0.641644,psi.fs[1],1960,Abies alba
1965s,0.546819,0.55077,0.571711,0.593046,0.5966118749999998,psi.fs[2],1965,Abies alba
1970s,0.568155,0.571711,0.591466,0.612801,0.616752,psi.fs[3],1970,Abies alba
1975s,0.526669,0.531806,0.555907,0.580008,0.585144,psi.fs[4],1975,Abies alba
1980s,0.423943,0.431055,0.466614,0.500988,0.5081,psi.fs[5],1980,Abies alba
1985s,0.490310125,0.495061,0.522718,0.551561,0.557092,psi.fs[6],1985,Abies alba
1990s,0.479257,0.484789,0.512841,0.540893,0.546819,psi.fs[7],1990,Abies alba
1995s,0.499407,0.504149,0.527855,0.551561,0.555907,psi.fs[8],1995,Abies alba
2000s,0.581193,0.583959,0.597787,0.612011,0.614777,psi.fs[9],2000,Abies alba
2005s,0.587515,0.591861,0.614382,0.636902,0.641644,psi.fs[10],2005,Abies alba
2010s,0.629395,0.632951,0.653497,0.674437,0.678388,psi.fs[11],2010,Abies alba
2015s,0.504544,0.516002,0.576847,0.636112,0.64678,psi.fs[12],2015,Abies alba
1960s,0.0023706,0.00276571,0.00829712,0.0221256,0.0268669,psi.fs[1],1960,Abutilon theophrasti
1965s,0.00553141,0.00632161,0.0126432,0.0248913,0.0284473,psi.fs[2],1965,Abutilon theophrasti
1970s,0.011853,0.0126432,0.019755,0.0320032,0.0355591,psi.fs[3],1970,Abutilon theophrasti
1975s,0.00474121,0.00553141,0.0122481,0.0248913,0.0288424,psi.fs[4],1975,Abutilon theophrasti
1980s,0.0173844,0.0185697,0.0260766,0.0375346,0.0406954,psi.fs[5],1980,Abutilon theophrasti
1985s,0.00592651,0.00632161,0.0106677,0.0185697,0.0205452,psi.fs[6],1985,Abutilon theophrasti
1990s,0.00711181,0.00790202,0.0126432,0.0205452,0.0229158,psi.fs[7],1990,Abutilon theophrasti
1995s,0.00395101,0.00474121,0.011853,0.0288424,0.0339787,psi.fs[8],1995,Abutilon theophrasti
2000s,0.0185697,0.0201501,0.0343738,0.0608455,0.066772,psi.fs[9],2000,Abutilon theophrasti
2005s,0.0679573,0.0715132,0.0944291,0.127222,0.134729,psi.fs[10],2005,Abutilon theophrasti
2010s,0.0564994,0.0608455,0.0928487,0.146187,0.16042087499999985,psi.fs[11],2010,Abutilon theophrasti
2015s,0.172659,0.18093625000000002,0.23469,0.310549,0.329119,psi.fs[12],2015,Abutilon theophrasti
1960s,0.316476,0.321217,0.343738,0.367444,0.37179,psi.fs[1],1960,Acer campestre
1965s,0.311339,0.31529,0.337021,0.358356,0.3627118999999999,psi.fs[2],1965,Acer campestre
1970s,0.321612,0.325168,0.344923,0.365863,0.369419,psi.fs[3],1970,Acer campestre
1975s,0.328724,0.332675,0.352825,0.37337,0.377716,psi.fs[4],1975,Acer campestre
1980s,0.341762,0.346108,0.366653,0.388779,0.39352,psi.fs[5],1980,Acer campestre
1985s,0.339777125,0.343738,0.363888,0.384038,0.387594,psi.fs[6],1985,Acer campestre
1990s,0.359937,0.363493,0.381272,0.400632,0.404583,psi.fs[7],1990,Acer campestre
1995s,0.344528,0.348084,0.368629,0.387989,0.391545,psi.fs[8],1995,Acer campestre
2000s,0.403793,0.405373,0.415251,0.425128,0.427499,psi.fs[9],2000,Acer campestre
2005s,0.39115,0.394311,0.407744,0.421573,0.424338,psi.fs[10],2005,Acer campestre
2010s,0.380877,0.383248,0.395891,0.408929,0.411695,psi.fs[11],2010,Acer campestre
2015s,0.324773,0.33307,0.369419,0.401422,0.406954,psi.fs[12],2015,Acer campestre
1960s,3.95101e-4,7.90202e-4,0.0114579,0.0513631,0.064016177,psi.fs[1],1960,Acer ginnala
1965s,3.95101e-4,0.0011853,0.0114579,0.0383248,0.047017,psi.fs[2],1965,Acer ginnala
1970s,7.90202e-4,0.0011853,0.0102726,0.0316081,0.040705277,psi.fs[3],1970,Acer ginnala
1975s,7.90202e-4,0.0011853,0.0102726,0.0323983,0.0406954,psi.fs[4],1975,Acer ginnala
1980s,0.0011853,0.0023706,0.0138285,0.0343738,0.040310177,psi.fs[5],1980,Acer ginnala
1985s,0.00671671,0.00829712,0.0213354,0.0426709,0.049792577,psi.fs[6],1985,Acer ginnala
1990s,0.00750691,0.00948242,0.0244962,0.0501778,0.057299477,psi.fs[7],1990,Acer ginnala
1995s,0.0102726,0.0126432,0.0308179,0.0663769,0.0790202,psi.fs[8],1995,Acer ginnala
2000s,0.0209403,0.023706,0.0442513,0.0825761,0.0952193,psi.fs[9],2000,Acer ginnala
2005s,0.0264718,0.0300277,0.0564994,0.112999,0.144607,psi.fs[10],2005,Acer ginnala
2010s,0.0264718,0.0300277,0.0592651,0.126432,0.150533,psi.fs[11],2010,Acer ginnala
2015s,0.0177795,0.0213354,0.0517582,0.1339587499999997,0.15646,psi.fs[12],2015,Acer ginnala
1960s,0.11615012500000002,0.129198,0.214935,0.302252,0.324378,psi.fs[1],1960,Acer negundo
1965s,0.170684,0.184117,0.256815,0.36667279999999974,0.391545,psi.fs[2],1965,Acer negundo
1970s,0.174239,0.187278,0.25563,0.357566,0.3785168749999998,psi.fs[3],1970,Acer negundo
1975s,0.205452,0.21533,0.282892,0.391545,0.4168507499999997,psi.fs[4],1975,Acer negundo
1980s,0.209798,0.21926125000000002,0.279731,0.38405774999999975,0.405768,psi.fs[5],1980,Acer negundo
1985s,0.182932,0.193204,0.241802,0.292375,0.303832,psi.fs[6],1985,Acer negundo
1990s,0.211774,0.217701,0.250099,0.291584,0.299881,psi.fs[7],1990,Acer negundo
1995s,0.177795,0.182537,0.211379,0.243777,0.249309,psi.fs[8],1995,Acer negundo
2000s,0.23784112500000001,0.241407,0.262347,0.287238,0.291979,psi.fs[9],2000,Acer negundo
2005s,0.23784112500000001,0.241407,0.270249,0.306598,0.314105,psi.fs[10],2005,Acer negundo
2010s,0.212959,0.21612,0.235085,0.25484,0.2584058749999999,psi.fs[11],2010,Acer negundo
2015s,0.193599,0.199921,0.239431,0.282497,0.29277,psi.fs[12],2015,Acer negundo
1960s,0.6530921,0.661399,0.719874,0.780324,0.790992,psi.fs[1],1960,Acer platanoides
1965s,0.597392,0.606085,0.657448,0.708021,0.717898,psi.fs[2],1965,Acer platanoides
1970s,0.622679,0.630976,0.676412,0.721849,0.730936,psi.fs[3],1970,Acer platanoides
1975s,0.623074,0.630976,0.674832,0.721454,0.729356,psi.fs[4],1975,Acer platanoides
1980s,0.604504,0.612801,0.6580405,0.70486,0.713157,psi.fs[5],1980,Acer platanoides
1985s,0.6827241249999999,0.690636,0.736468,0.78388,0.793362,psi.fs[6],1985,Acer platanoides
1990s,0.70565,0.711972,0.749506,0.786646,0.793757,psi.fs[7],1990,Acer platanoides
1995s,0.703279,0.709996,0.745555,0.781114,0.787436,psi.fs[8],1995,Acer platanoides
2000s,0.816278,0.819834,0.837218,0.855393,0.858554,psi.fs[9],2000,Acer platanoides
2005s,0.775583,0.780324,0.802845,0.82497,0.830107,psi.fs[10],2005,Acer platanoides
2010s,0.8348381250000001,0.839589,0.86211,0.885026,0.889372,psi.fs[11],2010,Acer platanoides
2015s,0.504544,0.519953,0.619123,0.723825,0.74516,psi.fs[12],2015,Acer platanoides
1960s,0.721454,0.727776,0.758989,0.789806,0.795733,psi.fs[1],1960,Acer pseudoplatanus
1965s,0.670881,0.676412,0.708021,0.740814,0.746345,psi.fs[2],1965,Acer pseudoplatanus
1970s,0.70723,0.712762,0.740814,0.768471,0.774002,psi.fs[3],1970,Acer pseudoplatanus
1975s,0.731331,0.736468,0.764915,0.794153,0.799289,psi.fs[4],1975,Acer pseudoplatanus
1980s,0.692612,0.699328,0.731727,0.76373,0.769656,psi.fs[5],1980,Acer pseudoplatanus
1985s,0.773597125,0.779139,0.807586,0.835638,0.840774,psi.fs[6],1985,Acer pseudoplatanus
1990s,0.787041,0.791387,0.817463,0.841565,0.845911,psi.fs[7],1990,Acer pseudoplatanus
1995s,0.749506,0.753457,0.775978,0.798894,0.80324,psi.fs[8],1995,Acer pseudoplatanus
2000s,0.897274,0.898854,0.907942,0.916634,0.918214,psi.fs[9],2000,Acer pseudoplatanus
2005s,0.879889,0.882655,0.896879,0.910707,0.913473,psi.fs[10],2005,Acer pseudoplatanus
2010s,0.937179,0.939945,0.952193,0.963651,0.966021,psi.fs[11],2010,Acer pseudoplatanus
2015s,0.652706,0.665745,0.729356,0.791782,0.804425,psi.fs[12],2015,Acer pseudoplatanus
1960s,0.0165942,0.0217305,0.0568945,0.103911,0.114184,psi.fs[1],1960,Acer tataricum
1965s,0.023706,0.0280522,0.05887,0.10274574999999972,0.112999,psi.fs[2],1965,Acer tataricum
1970s,0.0256815,0.0300277,0.0604504,0.103911,0.112999,psi.fs[3],1970,Acer tataricum
1975s,0.037919822500000006,0.0414856,0.0695377,0.113394,0.123667,psi.fs[4],1975,Acer tataricum
1980s,0.0268669,0.0323983,0.0616357,0.104702,0.114974,psi.fs[5],1980,Acer tataricum
1985s,0.0347689,0.0387199,0.0651916,0.105492,0.115765,psi.fs[6],1985,Acer tataricum
1990s,0.035549223,0.0399052,0.0663769,0.1066967499999997,0.115369,psi.fs[7],1990,Acer tataricum
1995s,0.0347689,0.0383248,0.0655867,0.105492,0.113789,psi.fs[8],1995,Acer tataricum
2000s,0.0383248,0.0422758,0.0671671,0.107863,0.117345,psi.fs[9],2000,Acer tataricum
2005s,0.0367444,0.0406954,0.0679573,0.11222874999999971,0.122086,psi.fs[10],2005,Acer tataricum
2010s,0.0387199,0.0426709,0.0715132,0.11695,0.129593,psi.fs[11],2010,Acer tataricum
2015s,0.0438562,0.0482023,0.0833663,0.146977,0.168313,psi.fs[12],2015,Acer tataricum
1960s,0.470565,0.479257,0.525879,0.578823,0.591071,psi.fs[1],1960,Achillea millefolium agg.
1965s,0.679563125,0.68787,0.729356,0.774002,0.7823088999999999,psi.fs[2],1965,Achillea millefolium agg.
1970s,0.782299,0.789016,0.821019,0.853418,0.859739,psi.fs[3],1970,Achillea millefolium agg.
1975s,0.855788,0.86132,0.888977,0.915053,0.919399,psi.fs[4],1975,Achillea millefolium agg.
1980s,0.892137,0.896879,0.922165,0.945081,0.949032,psi.fs[5],1980,Achillea millefolium agg.
1985s,0.902805,0.907546,0.933623,0.9557687499999996,0.960095,psi.fs[6],1985,Achillea millefolium agg.
1990s,0.904781,0.910707,0.938759,0.961675,0.9656358749999998,psi.fs[7],1990,Achillea millefolium agg.
1995s,0.952983,0.956934,0.973133,0.985776,0.987752,psi.fs[8],1995,Achillea millefolium agg.
2000s,0.984196,0.984986,0.990518,0.995259,0.996049,psi.fs[9],2000,Achillea millefolium agg.
2005s,0.988937,0.990518,0.996839,0.999605,1,psi.fs[10],2005,Achillea millefolium agg.
2010s,0.994469,0.995654,0.998815,1,1,psi.fs[11],2010,Achillea millefolium agg.
2015s,0.988937,0.991703,0.998815,1,1,psi.fs[12],2015,Achillea millefolium agg.
1960s,0.0142236,0.0150138,0.0205452,0.0288424,0.031213,psi.fs[1],1960,Achillea nobilis
1965s,0.015804,0.0165942,0.0217305,0.0288424,0.0308179,psi.fs[2],1965,Achillea nobilis
1970s,0.0134334,0.0142236,0.0189648,0.0248913,0.0260766,psi.fs[3],1970,Achillea nobilis
1975s,0.0154089,0.0161991,0.0209403,0.0268669,0.0284473,psi.fs[4],1975,Achillea nobilis
1980s,0.0138285,0.0142236,0.0181746,0.0241011,0.0248913,psi.fs[5],1980,Achillea nobilis
1985s,0.0122481,0.0130383,0.0173844,0.0229158,0.0241011,psi.fs[6],1985,Achillea nobilis
1990s,0.0142236,0.0146187,0.0185697,0.0241011,0.0252864,psi.fs[7],1990,Achillea nobilis
1995s,0.0106677,0.0110628,0.0150138,0.019755,0.0209403,psi.fs[8],1995,Achillea nobilis
2000s,0.0114579,0.0122481,0.0150138,0.0189648,0.019755,psi.fs[9],2000,Achillea nobilis
2005s,0.00711181,0.00790202,0.0110628,0.0154089,0.0161991,psi.fs[10],2005,Achillea nobilis
2010s,0.00790202,0.00829712,0.0110628,0.0146187,0.0154089,psi.fs[11],2010,Achillea nobilis
2015s,0.00632161,0.00711181,0.0106677,0.0150138,0.0161991,psi.fs[12],2015,Achillea nobilis
1960s,0.33386,0.34332320000000005,0.390755,0.448834,0.460292,psi.fs[1],1960,Achillea ptarmica
1965s,0.335836,0.344133,0.381667,0.422758,0.432635,psi.fs[2],1965,Achillea ptarmica
1970s,0.324773,0.330304,0.362702,0.394311,0.40024687499999984,psi.fs[3],1970,Achillea ptarmica
1975s,0.350059,0.355196,0.384038,0.417621,0.424733,psi.fs[4],1975,Achillea ptarmica
1980s,0.327539,0.333465,0.363493,0.393125,0.398262,psi.fs[5],1980,Achillea ptarmica
1985s,0.344133,0.349269,0.374951,0.402608,0.408139,psi.fs[6],1985,Achillea ptarmica
1990s,0.340182,0.345318,0.37179,0.400632,0.406164,psi.fs[7],1990,Achillea ptarmica
1995s,0.308179,0.3145,0.344528,0.372975,0.3789118749999999,psi.fs[8],1995,Achillea ptarmica
2000s,0.367049,0.370209,0.387989,0.406559,0.409719,psi.fs[9],2000,Achillea ptarmica
2005s,0.296326,0.301067,0.324773,0.35243,0.357566,psi.fs[10],2005,Achillea ptarmica
2010s,0.337811,0.342947,0.367444,0.39352,0.399447,psi.fs[11],2010,Achillea ptarmica
2015s,0.264322,0.276175,0.336231,0.3880087499999997,0.39906187499999984,psi.fs[12],2015,Achillea ptarmica
1960s,0.00513631,0.00553141,0.00869222,0.0122481,0.0130383,psi.fs[1],1960,Achillea styriaca
1965s,0.00553141,0.00592651,0.00869222,0.0122481,0.0130383,psi.fs[2],1965,Achillea styriaca
1970s,0.00553141,0.00592651,0.00869222,0.0122481,0.0130383,psi.fs[3],1970,Achillea styriaca
1975s,0.00553141,0.00632161,0.00908732,0.0122481,0.0130383,psi.fs[4],1975,Achillea styriaca
1980s,0.00632161,0.00671671,0.00987752,0.0130383,0.0138285,psi.fs[5],1980,Achillea styriaca
1985s,0.00671671,0.00711181,0.0102726,0.0138285,0.0146187,psi.fs[6],1985,Achillea styriaca
1990s,0.00750691,0.00790202,0.0114579,0.0150138,0.015804,psi.fs[7],1990,Achillea styriaca
1995s,0.00869222,0.00908732,0.0122481,0.015804,0.0165942,psi.fs[8],1995,Achillea styriaca
2000s,0.009077443,0.00948242,0.0122481,0.0154089,0.0161991,psi.fs[9],2000,Achillea styriaca
2005s,0.00908732,0.00948242,0.0122481,0.015804,0.0165942,psi.fs[10],2005,Achillea styriaca
2010s,0.00908732,0.00948242,0.0122481,0.0161991,0.0169893,psi.fs[11],2010,Achillea styriaca
2015s,0.00908732,0.00948242,0.0130383,0.0177795,0.0189648,psi.fs[12],2015,Achillea styriaca
1960s,0.200306125,0.210589,0.26491549999999997,0.325958,0.338601,psi.fs[1],1960,Acinos arvensis
1965s,0.258791,0.267483,0.31213,0.360727,0.371395,psi.fs[2],1965,Acinos arvensis
1970s,0.278546,0.284868,0.318056,0.353615,0.361517,psi.fs[3],1970,Acinos arvensis
1975s,0.356776,0.363888,0.400237,0.442118,0.45081,psi.fs[4],1975,Acinos arvensis
1980s,0.322797,0.330699,0.370605,0.410905,0.420387,psi.fs[5],1980,Acinos arvensis
1985s,0.335441,0.342947,0.388384,0.435006,0.4444978749999998,psi.fs[6],1985,Acinos arvensis
1990s,0.370209,0.377321,0.414066,0.454366,0.461478,psi.fs[7],1990,Acinos arvensis
1995s,0.258791,0.265903,0.305018,0.345713,0.353615,psi.fs[8],1995,Acinos arvensis
2000s,0.336231,0.340972,0.369419,0.3998617499999997,0.40538287499999986,psi.fs[9],2000,Acinos arvensis
2005s,0.282102,0.286448,0.314105,0.342552,0.348479,psi.fs[10],2005,Acinos arvensis
2010s,0.297116,0.301857,0.331885,0.364678,0.37179,psi.fs[11],2010,Acinos arvensis
2015s,0.298301,0.307388,0.358751,0.4188267499999997,0.430265,psi.fs[12],2015,Acinos arvensis
1960s,3.95101e-4,7.90202e-4,0.00395101,0.00592651,0.00632161,psi.fs[1],1960,Aconitum anthora
1965s,7.90202e-4,0.0011853,0.00395101,0.00592651,0.00632161,psi.fs[2],1965,Aconitum anthora
1970s,7.90202e-4,0.0011853,0.00395101,0.00553141,0.00632161,psi.fs[3],1970,Aconitum anthora
1975s,7.90202e-4,0.0011853,0.00395101,0.00553141,0.00632161,psi.fs[4],1975,Aconitum anthora
1980s,0.0011853,0.0015804,0.00395101,0.00592651,0.00632161,psi.fs[5],1980,Aconitum anthora
1985s,0.0023706,0.0023706,0.00434611,0.00592651,0.00671671,psi.fs[6],1985,Aconitum anthora
1990s,0.00355591,0.00355591,0.00474121,0.00711181,0.00790202,psi.fs[7],1990,Aconitum anthora
1995s,0.00355591,0.00355591,0.00474121,0.00711181,0.00750691,psi.fs[8],1995,Aconitum anthora
2000s,0.00355591,0.00355591,0.00434611,0.00592651,0.00632161,psi.fs[9],2000,Aconitum anthora
2005s,0.0023706,0.00276571,0.00395101,0.00592651,0.00632161,psi.fs[10],2005,Aconitum anthora
2010s,0.0023706,0.00276571,0.00395101,0.00553141,0.00592651,psi.fs[11],2010,Aconitum anthora
2015s,0.0011853,0.0019755,0.00395101,0.00592651,0.00671671,psi.fs[12],2015,Aconitum anthora
1960s,0.0600553,0.0636112,0.0790202,0.0967997,0.100751,psi.fs[1],1960,Aconitum lycoctonum
1965s,0.0640063,0.066772,0.0798104,0.0948242,0.097985,psi.fs[2],1965,Aconitum lycoctonum
1970s,0.0644014,0.066772,0.078625,0.0920585,0.0948242,psi.fs[3],1970,Aconitum lycoctonum
1975s,0.0683524,0.070723,0.0817859,0.0964046,0.0995654,psi.fs[4],1975,Aconitum lycoctonum
1980s,0.0683524,0.070723,0.082181,0.0971948,0.100751,psi.fs[5],1980,Aconitum lycoctonum
1985s,0.0679573,0.0699328,0.0809957,0.0952193,0.0983801,psi.fs[6],1985,Aconitum lycoctonum
1990s,0.0703279,0.0719083,0.0829712,0.0975899,0.100751,psi.fs[7],1990,Aconitum lycoctonum
1995s,0.0616357,0.0640063,0.0754642,0.0873173,0.090083,psi.fs[8],1995,Aconitum lycoctonum
2000s,0.066772,0.0687475,0.0778348,0.0885026,0.0904781,psi.fs[9],2000,Aconitum lycoctonum
2005s,0.0572896,0.0592651,0.0703279,0.0813908,0.083376177,psi.fs[10],2005,Aconitum lycoctonum
2010s,0.05887,0.0608455,0.0719083,0.0829712,0.0853418,psi.fs[11],2010,Aconitum lycoctonum
2015s,0.0474121,0.0505729,0.0675622,0.0817859,0.0841565,psi.fs[12],2015,Aconitum lycoctonum
1960s,0.0126432,0.0142236,0.0225207,0.0323983,0.0347689,psi.fs[1],1960,Aconitum plicatum
1965s,0.0169893,0.0181746,0.0244962,0.0323983,0.0347689,psi.fs[2],1965,Aconitum plicatum
1970s,0.0209403,0.0217305,0.027262,0.035164,0.036754277499999856,psi.fs[3],1970,Aconitum plicatum
1975s,0.0146187,0.015804,0.0221256,0.0292375,0.0308179,psi.fs[4],1975,Aconitum plicatum
1980s,0.011853,0.0130383,0.019755,0.0260766,0.027262,psi.fs[5],1980,Aconitum plicatum
1985s,0.0177795,0.0189648,0.0241011,0.0308179,0.0323983,psi.fs[6],1985,Aconitum plicatum
1990s,0.0221256,0.0233109,0.0288424,0.0383248,0.0406954,psi.fs[7],1990,Aconitum plicatum
1995s,0.015804,0.0165942,0.0209403,0.0256815,0.0264718,psi.fs[8],1995,Aconitum plicatum
2000s,0.0165942,0.0173844,0.0213354,0.0260766,0.027262,psi.fs[9],2000,Aconitum plicatum
2005s,0.0205452,0.0209403,0.0244962,0.0284473,0.0296326,psi.fs[10],2005,Aconitum plicatum
2010s,0.0233109,0.0241011,0.0280522,0.0335836,0.0347689,psi.fs[11],2010,Aconitum plicatum
2015s,0.0126432,0.0138285,0.0213354,0.0284473,0.0300277,psi.fs[12],2015,Aconitum plicatum
1960s,0.0458317,0.0493876,0.0730936,0.102726,0.107863,psi.fs[1],1960,Aconitum variegatum
1965s,0.068737623,0.0715132,0.090083,0.111814,0.116555,psi.fs[2],1965,Aconitum variegatum
1970s,0.0782299,0.0813908,0.101146,0.128803,0.135124,psi.fs[3],1970,Aconitum variegatum
1975s,0.0659818,0.0695377,0.0904781,0.111418,0.114974,psi.fs[4],1975,Aconitum variegatum
1980s,0.0798104,0.0829712,0.101936,0.122876,0.127222,psi.fs[5],1980,Aconitum variegatum
1985s,0.0853418,0.0892928,0.107072,0.128013,0.132754,psi.fs[6],1985,Aconitum variegatum
1990s,0.105887,0.109048,0.131173,0.162386,0.168313,psi.fs[7],1990,Aconitum variegatum
1995s,0.078625,0.082181,0.101146,0.120506,0.124457,psi.fs[8],1995,Aconitum variegatum
2000s,0.109048,0.110628,0.122086,0.135124,0.138285,psi.fs[9],2000,Aconitum variegatum
2005s,0.0908732,0.093224045,0.106677,0.121296,0.124062,psi.fs[10],2005,Aconitum variegatum
2010s,0.094034,0.0960095,0.107072,0.118925,0.12130587499999985,psi.fs[11],2010,Aconitum variegatum
2015s,0.0636112,0.0675622,0.0924536,0.11774,0.12288587499999985,psi.fs[12],2015,Aconitum variegatum
1960s,0.152509,0.163177,0.233109,0.323983,0.348874,psi.fs[1],1960,Acorus calamus
1965s,0.182141,0.190834,0.239826,0.299486,0.311339,psi.fs[2],1965,Acorus calamus
1970s,0.189648,0.197945,0.240221,0.286843,0.296326,psi.fs[3],1970,Acorus calamus
1975s,0.224407125,0.231529,0.267483,0.308179,0.318056,psi.fs[4],1975,Acorus calamus
1980s,0.240616,0.246938,0.281312,0.318451,0.325563,psi.fs[5],1980,Acorus calamus
1985s,0.303437,0.309759,0.342947,0.381272,0.38878887499999987,psi.fs[6],1985,Acorus calamus
1990s,0.275385,0.282102,0.318056,0.355591,0.363493,psi.fs[7],1990,Acorus calamus
1995s,0.243382,0.250494,0.286448,0.325958,0.3326848749999998,psi.fs[8],1995,Acorus calamus
2000s,0.347689,0.35164,0.373765,0.397076,0.401422,psi.fs[9],2000,Acorus calamus
2005s,0.322007,0.327539,0.361122,0.394706,0.401027,psi.fs[10],2005,Acorus calamus
2010s,0.380482,0.386804,0.424338,0.465429,0.473726,psi.fs[11],2010,Acorus calamus
2015s,0.376136,0.387594,0.454366,0.534176,0.551561,psi.fs[12],2015,Acorus calamus
1960s,0.0015804,0.0015804,0.00316081,0.00474121,0.00513631,psi.fs[1],1960,Actaea europaea
1965s,0.0015804,0.0019755,0.00316081,0.00474121,0.00513631,psi.fs[2],1965,Actaea europaea
1970s,0.0019755,0.0023706,0.00316081,0.00474121,0.00513631,psi.fs[3],1970,Actaea europaea
1975s,0.0015804,0.0019755,0.00316081,0.00474121,0.00474121,psi.fs[4],1975,Actaea europaea
1980s,0.0023706,0.0023706,0.00316081,0.00474121,0.00513631,psi.fs[5],1980,Actaea europaea
