name_lat,half_dec,pres
Abies alba,1960,821
Abies alba,1965,813
Abies alba,1970,952
Abies alba,1975,684
Abies alba,1980,357
Abies alba,1985,426
Abies alba,1990,499
Abies alba,1995,760
Abies alba,2000,2252
Abies alba,2005,902
Abies alba,2010,1068
Abies alba,2015,182
Abutilon theophrasti,1960,3
Abutilon theophrasti,1965,12
Abutilon theophrasti,1970,18
Abutilon theophrasti,1975,8
Abutilon theophrasti,1980,45
Abutilon theophrasti,1985,15
Abutilon theophrasti,1990,17
Abutilon theophrasti,1995,4
Abutilon theophrasti,2000,23
Abutilon theophrasti,2005,80
Abutilon theophrasti,2010,45
Abutilon theophrasti,2015,92
Acer campestre,1960,317
Acer campestre,1965,311
Acer campestre,1970,366
Acer campestre,1975,381
Acer campestre,1980,319
Acer campestre,1985,423
Acer campestre,1990,589
Acer campestre,1995,604
Acer campestre,2000,1826
Acer campestre,2005,1032
Acer campestre,2010,978
Acer campestre,2015,135
Acer ginnala,1965,1
Acer ginnala,1985,3
Acer ginnala,1990,2
Acer ginnala,1995,3
Acer ginnala,2000,6
Acer ginnala,2005,10
Acer ginnala,2010,6
Acer ginnala,2015,2
Acer negundo,1960,23
Acer negundo,1965,26
Acer negundo,1970,32
Acer negundo,1975,36
Acer negundo,1980,42
Acer negundo,1985,57
Acer negundo,1990,134
Acer negundo,1995,211
Acer negundo,2000,426
Acer negundo,2005,256
Acer negundo,2010,414
Acer negundo,2015,111
Acer platanoides,1960,388
Acer platanoides,1965,448
Acer platanoides,1970,549
Acer platanoides,1975,514
Acer platanoides,1980,457
Acer platanoides,1985,498
Acer platanoides,1990,643
Acer platanoides,1995,817
Acer platanoides,2000,2626
Acer platanoides,2005,1444
Acer platanoides,2010,1547
Acer platanoides,2015,194
Acer pseudoplatanus,1960,771
Acer pseudoplatanus,1965,831
Acer pseudoplatanus,1970,1048
Acer pseudoplatanus,1975,861
Acer pseudoplatanus,1980,718
Acer pseudoplatanus,1985,813
Acer pseudoplatanus,1990,1027
Acer pseudoplatanus,1995,1675
Acer pseudoplatanus,2000,4825
Acer pseudoplatanus,2005,2377
Acer pseudoplatanus,2010,2363
Acer pseudoplatanus,2015,287
Acer tataricum,1960,1
Acer tataricum,1965,4
Acer tataricum,1970,4
Acer tataricum,1975,12
Acer tataricum,1980,1
Acer tataricum,1985,9
Acer tataricum,1990,10
Acer tataricum,1995,10
Acer tataricum,2000,21
Acer tataricum,2005,10
Acer tataricum,2010,13
Acer tataricum,2015,10
Achillea millefolium agg.,1960,461
Achillea millefolium agg.,1965,849
Achillea millefolium agg.,1970,1339
Achillea millefolium agg.,1975,1298
Achillea millefolium agg.,1980,1306
Achillea millefolium agg.,1985,1272
Achillea millefolium agg.,1990,1448
Achillea millefolium agg.,1995,1999
Achillea millefolium agg.,2000,5407
Achillea millefolium agg.,2005,2946
Achillea millefolium agg.,2010,2684
Achillea millefolium agg.,2015,445
Achillea nobilis,1960,19
Achillea nobilis,1965,20
Achillea nobilis,1970,21
Achillea nobilis,1975,22
Achillea nobilis,1980,24
Achillea nobilis,1985,15
Achillea nobilis,1990,34
Achillea nobilis,1995,17
Achillea nobilis,2000,30
Achillea nobilis,2005,12
Achillea nobilis,2010,29
Achillea nobilis,2015,8
Achillea ptarmica,1960,100
Achillea ptarmica,1965,187
Achillea ptarmica,1970,281
Achillea ptarmica,1975,284
Achillea ptarmica,1980,275
Achillea ptarmica,1985,329
Achillea ptarmica,1990,272
Achillea ptarmica,1995,353
Achillea ptarmica,2000,880
Achillea ptarmica,2005,458
Achillea ptarmica,2010,416
Achillea ptarmica,2015,63
Achillea styriaca,1960,9
Achillea styriaca,1965,6
Achillea styriaca,1970,6
Achillea styriaca,1975,12
Achillea styriaca,1980,9
Achillea styriaca,1985,3
Achillea styriaca,1990,9
Achillea styriaca,1995,9
Achillea styriaca,2000,28
Achillea styriaca,2005,13
Achillea styriaca,2010,25
Achillea styriaca,2015,11
Acinos arvensis,1960,78
Acinos arvensis,1965,166
Acinos arvensis,1970,273
Acinos arvensis,1975,281
Acinos arvensis,1980,217
Acinos arvensis,1985,168
Acinos arvensis,1990,298
Acinos arvensis,1995,179
Acinos arvensis,2000,454
Acinos arvensis,2005,349
Acinos arvensis,2010,318
Acinos arvensis,2015,100
Aconitum anthora,1965,1
Aconitum anthora,1985,2
Aconitum anthora,1990,18
Aconitum anthora,1995,10
Aconitum anthora,2000,18
Aconitum anthora,2005,4
Aconitum anthora,2010,6
Aconitum firmum subsp. moravicum,1960,1
Aconitum firmum subsp. moravicum,1965,4
Aconitum firmum subsp. moravicum,1970,19
Aconitum firmum subsp. moravicum,1975,9
Aconitum firmum subsp. moravicum,1980,7
Aconitum firmum subsp. moravicum,1985,1
Aconitum firmum subsp. moravicum,1990,5
Aconitum firmum subsp. moravicum,1995,20
Aconitum firmum subsp. moravicum,2000,33
Aconitum firmum subsp. moravicum,2005,27
Aconitum firmum subsp. moravicum,2010,59
Aconitum firmum subsp. moravicum,2015,7
Aconitum lycoctonum,1960,18
Aconitum lycoctonum,1965,32
Aconitum lycoctonum,1970,45
Aconitum lycoctonum,1975,48
Aconitum lycoctonum,1980,38
Aconitum lycoctonum,1985,54
Aconitum lycoctonum,1990,63
Aconitum lycoctonum,1995,47
Aconitum lycoctonum,2000,136
Aconitum lycoctonum,2005,76
Aconitum lycoctonum,2010,72
Aconitum lycoctonum,2015,9
Aconitum plicatum,1960,8
Aconitum plicatum,1965,17
