specname,EIV_light,EIV_temp,EIV_moist,EIV_react,EIV_nutr,dist_freq,dist_sev,height_mean,GF_annual,GF_monocarpic,GF_polycarpic,GF_clonal,GF_dwarf,GF_shrub,GF_tree,LS_Pierce_C,LS_Pierce_S,LS_Pierce_R,LLS_overwintering_green,LLS_spring_green,LLS_summer_green,LLS_evergreen,LA_succulent,LA_scleromorphic,LA_mesomorphic,LA_hygromorphic,LA_helomorphic,LA_hydromorphic,flower_period_3_4,flower_period_5,flower_period_6,flower_period_7_8,flower_period_9_10,flower_phase_1,flower_phase_2,flower_phase_3,flower_phase_4,flower_phase_5,flower_phase_6,flower_phase_7,flower_phase_8,flower_phase_9,flower_phase_10,GR_allogamy,GR_autogamy,GR_mixed_mating,GR_apomixis,wind_pollination,insect_pollination,selfing,RT_veg,RT_seed_or_veg,RT_seed,DS_Allium,DS_Bidens,DS_Cornus,DS_Epilobium,DS_Lycopodium,DS_Phragmites,DS_Sparganium,DS_Wolffia,DS_Zea,myrmecochorous,probably_myrmecochorous,probably_non_myrmecochorous,non_myrmecochorous_a,non_myrmecochorous_b,Par_autotrophic,Par_parasite,Par_mycoheterotroph,symbiosis_N_fixers,no_nitrogen_fixing,eco_spec_all,colonization_success,IUCN,alien
Abutilon theophrasti,8,8,5,7,7,NA,NA,1,1,0,0,0,0,0,0,66.59,14.07,19.34,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,NA,NA,NA,neophyte
Acer campestre,NA,6,5,7,6,NA,NA,7.5,0,0,0,0,0,0.5,0.5,41.46,47.01,11.52,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,FALSE,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,4.86,8,NA,native
Acer pseudoplatanus,4,5,6,NA,7,NA,NA,30,0,0,0,0,0,0,1,56.55,27.88,15.57,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,FALSE,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,5.16,8,NA,native
Achillea millefolium agg.,7,NA,5,NA,5,-0.247,0.47,0.55,0,0,0,1,0,0,0,22.02,58.81,19.18,0,0,0.5,0.5,0,0.5,0.5,0,0,0,0,0.25,0.25,0.25,0.25,0,0,0,0,0,0.5,0.5,0,0,FALSE,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,3.82,9,NA,native
Achillea nobilis,8,7,3,8,2,NA,NA,0.375,0,0,0,1,0,0,0,NA,NA,NA,0,0,1,0,0,0.5,0.5,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0,0,1,0,FALSE,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4.19,NA,LC,native
Achillea ptarmica,7,5,8,4,4,-0.237,0.331,0.65,0,0,0,1,0,0,0,11.38,44.81,43.8,0,0,1,0,0,0,0.5,0,0.5,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0,0,1,0,FALSE,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5.94,4,NA,native
Achillea styriaca,7,6,4,6,4,NA,NA,0.7,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5.19,NA,LC,native
Aconitum lycoctonum,4,5,7,7,7,-0.716,0.049,0.85,0,0,1,0,0,0,0,73.38,0,26.62,0,0,1,0,0,0,0.5,0.5,0,0,0,0,0.5,0.5,0,0,0,0,0,0,1,0,0,0,FALSE,0,0,0,0,0,0.5,0.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,5.83,1,LC,native
Acorus calamus,8,6,10,7,7,-0.69,0.22,0.85,0,0,0,1,0,0,0,54.57,21.11,24.32,0,0,1,0,0,0,0,0,1,0,0,0,0.5,0.5,0,0,0,0,0,0,0,1,0,0,FALSE,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,3.8,NA,NA,neophyte
Actaea europaea,4,5,5,8,7,NA,NA,1.4,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6.18,1,EN,native
